Site,Channel,Replicate,Hour,DmagnaCT,DmagnaCN,DanicaCT,DanicaCN,AnguillaCT,AnguillaCN,,,,,,,
Davies,C1,R2,0,0.00,0.000,22.78,179.430,28.08,7.660,,,,,,,
Davies,C1,R3,0,32.58,27.420,22.48,219.600,28.63,5.700,,,,,,,
Davies,C1,R3,0,33.15,18.570,22.42,228.730,28.34,6.690,,,,,,,
Davies,C1,R3,0,33.38,15.810,23.56,104.530,28.40,6.450,,,,,,,
Davies,C2,R1,0,32.65,26.110,22.36,239.260,28.12,7.510,,,,,,,
Davies,C2,R1,0,32.90,22.070,22.50,216.170,28.39,6.490,,,,,,,
Davies,C2,R1,0,33.19,18.020,22.51,215.540,28.31,6.760,,,,,,,
Davies,C2,R2,0,31.80,47.190,21.86,336.910,27.54,10.270,,,,,,,
Davies,C2,R2,0,32.31,33.170,21.88,331.180,27.20,12.350,,,,,,,
Davies,C2,R2,0,32.31,33.190,23.41,116.060,28.62,5.730,,,,,,,
Davies,C2,R3,0,31.97,41.880,22.26,255.960,28.28,6.880,,,,,,,
Davies,C2,R3,0,32.36,32.080,22.28,251.700,27.56,10.140,,,,,,,
Davies,C2,R3,0,32.49,29.330,22.31,246.690,27.97,8.160,,,,,,,
Davies,C3,R1,0,31.93,43.060,22.33,242.830,28.16,7.350,,,,,,,
Davies,C3,R1,0,31.75,48.840,22.64,196.240,28.23,7.070,,,,,,,
Davies,C3,R1,0,32.00,41.110,22.43,227.020,28.49,6.140,,,,,,,
Davies,C3,R2,0,35.10,4.820,28.27,4.140,28.76,5.310,,,,,,,
Davies,C3,R2,0,35.00,5.160,23.81,88.400,28.67,5.590,,,,,,,
Davies,C3,R2,0,34.94,5.410,24.68,48.530,28.71,5.470,,,,,,,
Davies,C3,R3,0,31.91,43.500,22.26,255.950,28.20,7.200,,,,,,,
Davies,C3,R3,0,31.46,59.520,22.25,258.030,27.75,9.170,,,,,,,
Davies,C3,R3,0,32.39,31.360,22.14,278.020,28.07,7.730,,,,,,,
Hanwell,C1,R1,0,35.66,3.270,30.10,1.180,29.70,3.200,,,,,,,
Hanwell,C1,R1,0,35.21,4.480,28.46,3.640,29.41,3.750,,,,,,,
Hanwell,C1,R1,0,35.60,3.420,29.75,1.500,29.67,3.260,,,,,,,
Hanwell,C1,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C1,R2,0,0.00,0.000,38.19,0.000,0.00,0.000,,,,,,,
Hanwell,C1,R2,0,0.00,0.000,34.28,0.060,0.00,0.000,,,,,,,
Hanwell,C1,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C1,R3,0,0.00,0.000,36.84,0.010,0.00,0.000,,,,,,,
Hanwell,C1,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C2,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C2,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C2,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C2,R2,0,36.27,2.160,27.64,6.380,29.55,3.470,,,,,,,
Hanwell,C2,R2,0,35.48,3.710,34.30,0.060,29.86,2.940,,,,,,,
Hanwell,C2,R2,0,35.56,3.530,28.15,4.500,30.62,1.950,,,,,,,
Hanwell,C2,R3,0,35.51,3.650,31.02,0.620,36.00,0.100,,,,,,,
Hanwell,C2,R3,0,36.91,1.380,30.72,0.770,30.80,1.770,,,,,,,
Hanwell,C2,R3,0,36.64,1.670,28.02,4.910,39.42,0.010,,,,,,,
Hanwell,C3,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R1,0,0.00,0.000,31.25,0.530,0.00,0.000,,,,,,,
Hanwell,C3,R1,0,0.00,0.000,37.20,0.000,39.32,0.010,,,,,,,
Hanwell,C3,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R3,0,0.00,0.000,0.00,0.000,36.62,0.070,,,,,,,
Hanwell,C3,R3,0,0.00,0.000,39.23,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R3,0,0.00,0.000,38.17,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R2,0,0.00,0.000,34.61,0.050,0.00,0.000,,,,,,,
Sidaway,C1,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R2,0,0.00,0.000,0.00,0.000,31.44,1.250,,,,,,,
Sidaway,C1,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R1,0,0.00,0.000,39.47,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R1,0,0.00,0.000,29.92,1.340,0.00,0.000,,,,,,,
Sidaway,C2,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R3,0,0.00,0.000,28.12,4.600,0.00,0.000,,,,,,,
Sidaway,C2,R3,0,0.00,0.000,25.32,31.360,0.00,0.000,,,,,,,
Sidaway,C3,R1,0,0.00,0.000,33.90,0.080,0.00,0.000,,,,,,,
Sidaway,C3,R1,0,36.16,2.330,35.02,0.040,0.00,0.000,,,,,,,
Sidaway,C3,R1,0,36.98,1.320,32.69,0.190,0.00,0.000,,,,,,,
Sidaway,C3,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R2,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R3,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R1,1,29.30,53.410,26.31,20.220,29.10,2.350,,,,,,,
Carpenter,C1,R1,1,29.23,56.170,26.26,20.980,28.61,3.140,,,,,,,
Carpenter,C1,R1,1,30.33,26.510,26.12,23.120,28.68,3.020,,,,,,,
Carpenter,C1,R2,1,29.51,46.460,28.58,4.180,28.72,2.950,,,,,,,
Carpenter,C1,R2,1,30.23,28.260,28.50,4.430,28.41,3.540,,,,,,,
Carpenter,C1,R2,1,31.38,12.840,28.64,4.010,28.46,3.440,,,,,,,
Carpenter,C1,R3,1,29.15,59.290,26.66,15.870,29.21,2.200,,,,,,,
Carpenter,C1,R3,1,29.65,42.210,26.76,14.820,29.49,1.860,,,,,,,
Carpenter,C1,R3,1,29.19,57.560,26.38,19.290,29.12,2.330,,,,,,,
Carpenter,C2,R1,1,30.77,19.530,29.32,2.500,30.92,0.800,,,,,,,
Carpenter,C2,R1,1,30.83,18.830,29.48,2.240,30.92,0.800,,,,,,,
Carpenter,C2,R1,1,0.00,0.000,29.60,2.060,30.46,1.050,,,,,,,
Carpenter,C2,R2,1,33.01,4.220,29.11,2.890,31.07,0.730,,,,,,,
Carpenter,C2,R2,1,33.36,3.330,29.69,1.940,31.12,0.710,,,,,,,
Carpenter,C2,R2,1,32.80,4.880,29.29,2.560,30.79,0.860,,,,,,,
Carpenter,C2,R3,1,31.91,8.960,28.72,3.790,29.97,1.400,,,,,,,
